800.00	789.47	10.53	878.72
800.00	789.47	10.53	880.52
800.00	789.47	10.53	882.33
800.00	810.81	-10.81	884.14
800.00	789.47	10.53	889.40
800.00	789.47	10.53	884.09
800.00	810.81	-10.81	885.90
800.00	810.81	-10.81	891.16
800.00	789.47	10.53	889.31
800.00	789.47	10.53	883.99
800.00	789.47	10.53	885.80
800.00	789.47	10.53	887.61
800.00	810.81	-10.81	889.42
800.00	789.47	10.53	894.68
800.00	789.47	10.53	889.37
800.00	789.47	10.53	891.18
800.00	789.47	10.53	892.99
800.00	810.81	-10.81	894.80
800.00	810.81	-10.81	900.06
800.00	789.47	10.53	898.20
800.00	810.81	-10.81	892.89
800.00	789.47	10.53	898.15
800.00	810.81	-10.81	892.84
800.00	789.47	10.53	898.10
800.00	789.47	10.53	892.79
800.00	810.81	-10.81	894.60
800.00	789.47	10.53	899.86
800.00	789.47	10.53	894.55
800.00	810.81	-10.81	896.36
800.00	789.47	10.53	901.62
800.00	810.81	-10.81	896.31
800.00	810.81	-10.81	901.57
800.00	810.81	-10.81	899.72
800.00	789.47	10.53	897.86
800.00	789.47	10.53	892.55
800.00	810.81	-10.81	894.36
800.00	810.81	-10.81	899.62
800.00	810.81	-10.81	897.76
800.00	810.81	-10.81	895.90
800.00	789.47	10.53	894.05